,class,transformed_tweet,len_word,num_word,positive_score,negative_score,sentiment
220,2,dizzleofficial inna di ghetto alone lmaoo,41,6,0.0,0.286,0.0
221,2,ramboutit hoes austin 8221 teach us austin teach u get curved know,66,12,0.0,0.0,0.0
222,1,bitches ca cook know suck dick ones,35,7,0.0,0.716,0.0
223,1,fat hoes get chose lol,22,5,0.412,0.0,0.8
224,1,hoesaintloyal well hoes one expects loyal,41,6,0.565,0.0,0.3333333333333333
225,1,,0,0,0.0,0.0,0.0
226,1,bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo,76,13,0.136,0.434,-0.36666666666666664
227,1,tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck,74,14,0.507,0.138,0.057499999999999996
228,1,rolls floor laughing,20,3,0.615,0.0,0.0
229,1,want sex gf feel like using anonymous whata faggot,50,9,0.268,0.31,0.0
230,1,somebody bitch,14,2,0.0,0.792,0.0
231,1,ya bitch always bitching clearly care annoying bitch,52,8,0.291,0.611,-0.35000000000000003
232,1,catfish hoes thinkin slick niggas catching 128524,49,7,0.0,0.286,0.175
233,1,ca worry bitch ai worried bout real,35,7,0.0,0.69,0.2
234,1,side hoes insecure niggas ca handle real one,44,8,0.0,0.464,-0.15
235,1,lmao bitch come scooting tent like fuck shit 128557 128557 128557,65,11,0.275,0.468,-1.850371707708594e-17
236,1,cousin said share hoes brothers said sharing caring love brothers 128514,72,11,0.639,0.0,0.5
237,1,hungry ionn wan na spend money food 128530 broke hoe problems 128514 128514 128514 128128,89,15,0.0,0.297,-0.2
238,1,dese hoes lyin us nigga,23,5,0.0,0.0,0.0
239,1,oh yeah fuck bitch,18,4,0.21,0.695,-0.4
240,2,eli manning threw 27th interception season lmao trash,53,8,0.358,0.0,0.6
241,2,bitch,5,1,0.0,1.0,0.0
242,1,guess also zero time mansplaining adios stfu pussy,50,8,0.0,0.0,0.0
243,2,sexy scally lad,15,3,0.63,0.0,0.5
244,1,ai sharing bitch mines mines 128175,35,6,0.264,0.358,0.0
245,1,money impress simple broke bitches,34,5,0.25,0.578,0.0
246,1,pisces never anybody bitch let people control change rigghhht,61,9,0.277,0.0,0.0
247,2,16stanleys kingcuh tuku ho idk blah blah blah 128514 128514 128514,66,11,0.0,0.444,0.0
248,2,kingcuh 16stanleys mad cuh hahaha suure tuku ho ita 128514 128514,65,11,0.228,0.203,-0.2125
249,1,hoes crazy,10,2,0.0,0.706,-0.6
250,1,,0,0,0.0,0.0,0.0
251,1,oomf fuckin fine tho 128553 dam bitch,37,7,0.17,0.358,0.4166666666666667
252,1,wonder girl gave head 24 boys drink magaluf twitter probly sends nudes fags,75,13,0.0,0.0,0.0
253,1,maybe b later jesse pinkman machinegunkelly,43,6,0.0,0.0,0.0
254,1,hickies thighs right pussy gt gt gt right,41,8,0.558,0.0,0.2857142857142857
255,1,would still love longer young beautiful ugly monkey ass,55,9,0.407,0.342,0.13999999999999999
256,1,jetsandaswisher come front bitch ai coming,42,6,0.0,0.432,0.0
257,1,,0,0,0.0,0.0,0.0
258,1,yea ipad work friday let ball faggot tropicalblanket work,57,9,0.0,0.355,0.0
259,2,scally lad would get,20,4,0.0,0.0,0.0
260,1,halloween yesterday stupid nigger,33,4,0.0,0.794,-0.7999999999999999
261,1,,0,0,0.0,0.0,0.0
262,1,love eating pussy lol never get full lol 8221 eat shit forever lol ever,71,14,0.5,0.143,0.5083333333333333
263,1,slushes 128549 8221 hoes nasty anyway fam 128564 8221 hoes taste like meds 127815 127815 127868,95,16,0.124,0.179,-1.0
264,1,slushes 128549 8221 hoes nasty anyway fam 128564,48,8,0.0,0.34,-1.0
265,1,bobby bobbyshmurdags9 getting live fuck hell yea play hoe workout,65,10,0.137,0.463,-0.13181818181818183
266,1,128514 128514 128514 128514 128514 128514,41,6,0.0,0.0,0.0
267,1,ride bitch handle bars,22,4,0.0,0.559,0.0
268,1,ai hoe get traphoussseeeee,26,4,0.0,0.0,0.0
269,2,ned stark man,13,3,0.0,0.0,-0.2
270,1,harbor bitches party bus hoes lol,33,6,0.444,0.315,0.8
271,1,woodchuck20 pussy love,22,3,0.677,0.0,0.5
272,1,bitchy promo,12,2,0.0,0.767,0.0
273,1,lmfao kittycopter,17,2,0.778,0.0,0.0
274,2,,0,0,0.0,0.0,0.0
275,1,128128 128128 128128 got ta get ike avi bitch,45,9,0.0,0.322,0.0
276,1,simple dont worry exposed 128540 fight,38,6,0.393,0.282,0.0
277,1,size exactly healthy tho,24,4,0.474,0.0,0.5
278,1,bet bitches 128514 128080 128299 128299 128298 128514 128514 kim bye,68,11,0.0,0.281,0.0
279,1,damn near got ta protect tweets stalkers annoying got dope dick drive bitches loco,82,14,0.107,0.521,-0.35000000000000003
280,1,making marack girlfriend marackaf aye b pullin hoes like taught,63,10,0.238,0.0,0.0
281,1,bruno fag boy love,18,4,0.452,0.333,0.5
282,1,must bitch 8221 128514 128514 128514 sike naw always beefing 128514,67,11,0.0,0.275,0.0
283,2,yankees look rally bottom 9th rallycap,38,6,0.0,0.0,0.0
284,1,take advantage nice person 8221 hoes everyjuan,46,7,0.49,0.0,0.6
285,1,happy birthday bitch nigga wexicanafro702 thanks pal,52,7,0.458,0.264,0.5
286,1,sad knowing hoes wo fuck bc ai got stacks wait till friday,58,12,0.0,0.398,-0.45
287,1,cinco shit harder fucc nigga yee fucc wit rich homie cuz dats ya homeboy fucc nicca,83,16,0.17,0.17,0.024999999999999984
288,1,h0rheyd ewww said last sunday last sunday read nigs 128563 128563 128563 128563 128563,86,14,0.0,0.0,0.0
289,1,punch real niggas face cause pussy nigga gon na punch right back strong mush shake,82,15,0.17,0.211,0.22976190476190475
290,1,pussy still fresh lt something stank girls say,46,8,0.205,0.259,0.3
291,1,ass slapping one greatest things haha 128527 slapped girl got mad aint get pussy week,85,15,0.289,0.269,0.19166666666666665
292,1,wearerichnow buffalobills yeah texans much better fucking retard see mad,72,10,0.279,0.392,-0.3416666666666666
293,1,nd wtf dark bitches blonde please several seats hoe looking like black amp milds,80,14,0.213,0.342,-0.16333333333333333
294,1,lane bitches need stay 128526 left n get right fuck outta face 128557 128129 128536,83,15,0.0,0.381,-0.038095238095238106
295,1,hate boys deny bitches 128080 128553 smh,40,7,0.0,0.804,-0.8
296,1,ya nigs still saying eat butt straight face,43,8,0.213,0.0,0.2
297,1,im boss ass bitch needs sit corner,34,7,0.0,0.593,0.0
298,1,hoe ca,6,2,0.0,0.0,0.0
299,1,paul thinkin bout gettin rentals da weekend 128665 128168 128168 oooh shit bitches betta stay da streets,104,17,0.0,0.333,-0.2
300,1,bitches hold nigga get locked nigga go college military different story 128564,78,12,0.0,0.262,-0.05
301,1,friends hate ratchet hoe,24,4,0.352,0.42,-0.8
302,1,love fuck niggas hoes,21,4,0.378,0.532,0.04999999999999999
303,1,sexy fuck scally lad would love meet trainers,45,8,0.472,0.217,0.19999999999999998
304,1,perved scally lad fuck yeah,27,5,0.253,0.402,-0.4
305,1,bitches love sosa,17,3,0.462,0.429,0.5
306,1,legit watched 30 40 seconds 128529 8221 wtf prob cause retarded smh,67,12,0.0,0.521,-0.65
307,1,name cat ideas mr pussy,23,5,0.0,0.0,0.0
308,1,woof woof sexy thug boy scally,30,6,0.405,0.0,0.5
309,1,u see damn phone ringing 128547 128530 128542 married bitches makes demands called,82,13,0.0,0.398,0.25
310,1,tevin favorite sophomore think funny hes really lmaoo hes little hoe,68,11,0.396,0.0,0.190625
311,1,naw u call fucking soul outta bitch 128557,42,8,0.0,0.404,-0.6
312,1,itsnotadam bored supposed cute faggot sometimes,47,6,0.24,0.52,0.0
313,2,one mans trash 128686 another mans treasure 127942,50,8,0.239,0.0,0.0
314,1,got type bad bitches thing like iongotnotype,44,7,0.18,0.532,-0.6999999999999998
315,1,lassen cc coach wants feel youll get nig doubt,46,9,0.0,0.238,0.2
316,1,god teeth gold chain white bitches cocaine,42,7,0.191,0.355,0.0
317,1,hoe hoe 128129 shhhhh,21,4,0.0,0.0,0.0
318,1,call rollers chiraq call thots across america known hoe,55,9,0.0,0.0,0.0
319,1,gon na miss bitch bus driver wo lie,35,8,0.0,0.474,0.0
320,1,hate bitches try put friendzone bitch tryin score put endzone 128293 128293 128293 soul,87,14,0.0,0.509,-0.8
321,2,hahaha,6,1,1.0,0.0,0.2
322,1,trevaughnlg yall gimped ai tht bitch huh lol,44,8,0.222,0.302,0.8
323,2,redneck woof woof,17,3,0.0,0.0,0.0
324,1,oh god love victoria mitchell bitches love,42,7,0.603,0.224,0.5
325,1,long distance shit wack knew bitch cheating uh oh,49,9,0.0,0.647,-0.125
326,1,bitches smh,11,2,0.0,1.0,0.0
327,1,ban dat pussy life amp got ta pay millon dollar fine,52,11,0.122,0.338,0.4166666666666667
328,1,roses red violets blue niggers black know true dylan72892,57,9,0.259,0.0,0.04583333333333333
329,2,sitting window sill window open bird tries fly smacked protecttheanimals peta,77,11,0.0,0.0,0.23333333333333336
330,1,nigga gon nigga nigga sound fuckin retarded,43,7,0.0,0.381,-0.2
331,2,crybaby,7,1,0.0,0.0,0.0
332,1,smiles dips cracker soup,24,4,0.508,0.0,0.0
333,1,tim tebow got cut every team nfl already got hoes starkville smh 128514 128514 128514 128514,92,16,0.0,0.239,0.0
334,1,karma bitch damn godprotectshisangels 128588 sips tea,53,7,0.0,0.565,0.0
335,1,fuck yeah,9,2,0.386,0.614,-0.4
336,2,,0,0,0.0,0.0,0.0
337,1,call fireman cause turn hoes,28,5,0.0,0.0,0.0
338,1,could never bby lil dick thts got abortion last bitch oh god,60,12,0.273,0.216,0.0
339,1,watch women try argue like dick actually fucked pussy hate bitches,66,11,0.099,0.702,-0.7
340,1,smoke weed public fuck cops man wan na run come retarded,56,11,0.0,0.444,-0.35000000000000003
341,2,,0,0,0.0,0.0,0.0
342,1,thotermelon,11,1,0.0,0.0,0.0
343,2,,0,0,0.0,0.0,0.0
344,1,loud bitches annoy,18,3,0.0,0.872,0.1
345,1,eventually every bitch turns hoe truuu,38,6,0.0,0.432,0.0
346,1,swear oomf try talking tomorrow barackobama pussy,49,7,0.0,0.167,0.0
347,1,bitches pretending tf crazy ai never lied,41,7,0.278,0.489,-0.6
348,1,k bye hoe um bye,16,5,0.0,0.0,0.0
349,1,jackies retard blondeproblems least make grilled cheese,55,7,0.0,0.362,-0.6
350,1,ima keep giving pussy ass niggas ah reason hate,47,9,0.141,0.565,-0.8
351,2,sole heaven,11,2,0.767,0.0,0.0
352,1,baddest bitch evaaaa,20,3,0.0,0.655,0.0
353,1,side bitch sunday 128514 128514 128514 128514 128514 128514,59,9,0.0,0.322,0.0
354,1,lmao 128553 128514,18,3,0.661,0.0,0.6
355,1,fuck wit us tweakin hoe shmurda,31,6,0.0,0.412,-0.4
356,2,128123 spook,12,2,0.0,0.0,0.0
